models,model_rounds,validation_accuracy,validation_lower_bound,validation_upper_bound,validation_total,validation_correct,test_accuracy,test_lower_bound,test_upper_bound,test_total,test_correct,validation_TP,test_TP,validation_FP,test_FP,validation_TN,test_TN,validation_FN,test_FN
"sgc_coral-anthropic3710,sgc_coral-gemini2510,sgc_coral-openailong","3,2,3",0.7115384615384616,0.6144665882968031,0.7961807727800615,104,74,0.5929203539823009,0.4964726470054805,0.6843740416228519,113,67,45,52,13,10,29,15,17,36
"sgc_coral-anthropic3710,sgc_coral-gemini2510,sgc_coral-gemma","3,2,1",0.7115384615384616,0.6144665882968031,0.7961807727800615,104,74,0.6283185840707964,0.5323652037350549,0.717368992019971,113,71,46,58,14,12,28,13,16,30
"sgc_coral-anthropic3710,sgc_coral-openai10,sgc_coral-openailong","3,1,3",0.7019230769230769,0.6043189953791482,0.7876696623710339,104,73,0.5752212389380531,0.4787054077974483,0.6676956871258655,113,65,43,47,12,7,30,18,19,41
"sgc_coral-anthropic37,sgc_coral-anthropic3710,sgc_coral-gemini2510","7,3,2",0.7019230769230769,0.6043189953791482,0.7876696623710339,104,73,0.5663716814159292,0.4698655764900294,0.6593123718320077,113,64,40,46,9,7,33,18,22,42
"sgc_coral-geminipro10,sgc_coral-openai10,sgc_coral-openailong","1,1,3",0.7019230769230769,0.6043189953791482,0.7876696623710339,104,73,0.48672566371681414,0.391592485688175,0.5825715848269355,113,55,41,39,10,9,32,16,21,49
"sgc_coral-anthropic3710,sgc_coral-openai45,sgc_coral-openailong","3,1,3",0.6923076923076923,0.5942159847050734,0.7791128107798506,104,72,0.6371681415929203,0.5414149629210798,0.7255401401231517,113,72,43,54,13,7,29,18,19,34
"sgc_coral-anthropic3710,sgc_coral-geminipro,sgc_coral-openailong","3,1,3",0.6923076923076923,0.5942159847050734,0.7791128107798506,104,72,0.5575221238938053,0.4610546518661339,0.6508999553070312,113,63,44,46,14,8,28,17,18,42
"sgc_coral-anthropic3710,sgc_coral-gemini2510,sgc_coral-openai10","3,2,1",0.6923076923076923,0.5942159847050734,0.7791128107798506,104,72,0.6283185840707964,0.5323652037350549,0.717368992019971,113,71,48,56,18,10,24,15,14,32
"sgc_coral-anthropic3710,sgc_coral-gemini2510,sgc_coral-openai45","3,2,1",0.6923076923076923,0.5942159847050734,0.7791128107798506,104,72,0.6637168141592921,0.5687552162567255,0.7498596396389975,113,75,47,60,17,10,25,15,15,28
"sgc_coral-anthropic3710,sgc_coral-gemini2510,sgc_coral-openaio1","3,2,2",0.6826923076923077,0.5841564236958328,0.7705114525244577,104,71,0.6283185840707964,0.5323652037350549,0.717368992019971,113,71,41,54,12,8,30,17,21,34
"sgc_coral-anthropic3710,sgc_coral-geminipro10,sgc_coral-openailong","3,1,3",0.6826923076923077,0.5841564236958328,0.7705114525244577,104,71,0.5752212389380531,0.4787054077974483,0.6676956871258655,113,65,42,48,13,8,29,17,20,40
"sgc_coral-gemini2510,sgc_coral-openai10,sgc_coral-openailong","2,1,3",0.6826923076923077,0.5841564236958328,0.7705114525244577,104,71,0.5929203539823009,0.4964726470054805,0.6843740416228519,113,67,46,51,17,9,25,16,16,37
"sgc_coral-gemini2510,sgc_coral-geminipro,sgc_coral-openailong","2,1,3",0.6826923076923077,0.5841564236958328,0.7705114525244577,104,71,0.6194690265486725,0.5233464844783339,0.7091663790724447,113,70,45,54,16,9,26,16,17,34
"sgc_coral-anthropic37,sgc_coral-gemini2510,sgc_coral-openailong","7,2,3",0.6826923076923077,0.5841564236958328,0.7705114525244577,104,71,0.5663716814159292,0.4698655764900294,0.6593123718320077,113,64,40,47,11,8,31,17,22,41
"sgc_coral-anthropic3710,sgc_coral-openai,sgc_coral-openailong","3,1,3",0.6826923076923077,0.5841564236958328,0.7705114525244577,104,71,0.5752212389380531,0.4787054077974483,0.6676956871258655,113,65,41,46,12,6,30,19,21,42
"sgc_coral-anthropic10,sgc_coral-anthropic37,sgc_coral-gemini2510","4,7,2",0.6826923076923077,0.5841564236958328,0.7705114525244577,104,71,0.5221238938053098,0.4260969019985035,0.6169629390023114,113,59,36,41,7,7,35,18,26,47
"sgc_coral-anthropic3710,sgc_coral-gemini2510,sgc_coral-geminipro","3,2,1",0.6826923076923077,0.5841564236958328,0.7705114525244577,104,71,0.6194690265486725,0.5233464844783339,0.7091663790724447,113,70,46,56,17,11,25,14,16,32
"sgc_coral-anthropic10,sgc_coral-gemini2510,sgc_coral-geminipro","4,2,1",0.6730769230769231,0.5741392800895302,0.7618667125500935,104,70,0.5575221238938053,0.4610546518661339,0.6508999553070312,113,63,41,47,13,9,29,16,21,41
"sgc_coral-anthropic3710,sgc_coral-gemma,sgc_coral-openai10","3,1,1",0.6730769230769231,0.5741392800895302,0.7618667125500935,104,70,0.5486725663716814,0.4522724568103532,0.642458642416372,113,62,45,47,17,10,25,15,17,41
"sgc_coral-anthropic10,sgc_coral-anthropic3710,sgc_coral-gemini2510","4,3,2",0.6730769230769231,0.5741392800895302,0.7618667125500935,104,70,0.5663716814159292,0.4698655764900294,0.6593123718320077,113,64,39,48,11,9,31,16,23,40
"sgc_coral-anthropic3710,sgc_coral-gemini2510,sgc_coral-geminipro10","3,2,1",0.6730769230769231,0.5741392800895302,0.7618667125500935,104,70,0.5929203539823009,0.4964726470054805,0.6843740416228519,113,67,45,54,17,12,25,13,17,34
"sgc_coral-anthropic3710,sgc_coral-gemini25,sgc_coral-gemini2510","3,2,2",0.6730769230769231,0.5741392800895302,0.7618667125500935,104,70,0.5309734513274337,0.4347936889763754,0.6254900011303783,113,60,38,43,10,8,32,17,24,45
"sgc_coral-openai10,sgc_coral-openai4510,sgc_coral-openailong","1,1,3",0.6730769230769231,0.5741392800895302,0.7618667125500935,104,70,0.5575221238938053,0.4610546518661339,0.6508999553070312,113,63,42,45,14,7,28,18,20,43
