models,model_rounds,validation_accuracy,validation_lower_bound,validation_upper_bound,validation_total,validation_correct,test_accuracy,test_lower_bound,test_upper_bound,test_total,test_correct,validation_TP,test_TP,validation_FP,test_FP,validation_TN,test_TN,validation_FN,test_FN
"sgc_coral-anthropic37,sgc_coral-anthropic3710,sgc_coral-openailong","7,3,3",0.6730769230769231,0.5741392800895302,0.7618667125500935,104,70,0.5221238938053098,0.4260969019985035,0.6169629390023114,113,59,35,39,7,5,35,20,27,49
"sgc_coral-anthropic3710,sgc_coral-gemini10,sgc_coral-gemini2510","3,4,2",0.6730769230769231,0.5741392800895302,0.7618667125500935,104,70,0.5486725663716814,0.4522724568103532,0.642458642416372,113,62,38,45,10,8,32,17,24,43
"sgc_coral-anthropic,sgc_coral-gemini2510,sgc_coral-openailong","1,2,3",0.6730769230769231,0.5741392800895302,0.7618667125500935,104,70,0.5663716814159292,0.4698655764900294,0.6593123718320077,113,64,45,48,17,9,25,16,17,40
"sgc_coral-anthropic10,sgc_coral-geminipro10,sgc_coral-openai10","4,1,1",0.6730769230769231,0.5741392800895302,0.7618667125500935,104,70,0.4247787610619469,0.33230431287413453,0.5212945922025517,113,48,34,31,6,8,36,17,28,57
"sgc_coral-gemini2510,sgc_coral-openai10,sgc_coral-openaio1","2,1,2",0.6730769230769231,0.5741392800895302,0.7618667125500935,104,70,0.6106194690265486,0.5143583942222505,0.7009327503651719,113,69,42,52,14,8,28,17,20,36
"sgc_coral-anthropic37,sgc_coral-anthropic3710,sgc_coral-geminipro","7,3,1",0.6730769230769231,0.5741392800895302,0.7618667125500935,104,70,0.4778761061946903,0.38303706099768864,0.5739030980014965,113,54,36,35,8,6,34,19,26,53
"sgc_coral-geminipro,sgc_coral-geminipro10,sgc_coral-openailong","1,1,3",0.6634615384615384,0.5641636130662238,0.7531796163162903,104,69,0.49557522123893805,0.40017620771878704,0.5912118116445175,113,56,40,42,13,11,29,14,22,46
"sgc_coral-anthropic,sgc_coral-openai10,sgc_coral-openailong","1,1,3",0.6634615384615384,0.5641636130662238,0.7531796163162903,104,69,0.504424778761062,0.4087881883554824,0.599823792281213,113,57,44,41,17,9,25,16,18,47
"sgc_coral-gemini,sgc_coral-gemini2510,sgc_coral-openailong","1,2,3",0.6634615384615384,0.5641636130662238,0.7531796163162903,104,69,0.6017699115044248,0.5054005604480631,0.6926685144473006,113,68,45,52,18,9,24,16,17,36
"sgc_coral-gemini2510,sgc_coral-geminipro,sgc_coral-geminipro10","2,1,1",0.6634615384615384,0.5641636130662238,0.7531796163162903,104,69,0.5752212389380531,0.4787054077974483,0.6676956871258655,113,65,45,52,18,12,24,13,17,36
"sgc_coral-gemini2510,sgc_coral-geminipro10,sgc_coral-openai10","2,1,1",0.6634615384615384,0.5641636130662238,0.7531796163162903,104,69,0.5398230088495575,0.44351884275715087,0.6339886086814048,113,61,47,48,20,12,22,13,15,40
"sgc_coral-anthropic3710,sgc_coral-geminipro10,sgc_coral-openai10","3,1,1",0.6634615384615384,0.5641636130662238,0.7531796163162903,104,69,0.4690265486725664,0.3745099988696216,0.5652063110236246,113,53,40,40,13,12,29,13,22,48
"sgc_coral-anthropic3710,sgc_coral-openailong,sgc_coral-openaio1","3,3,2",0.6634615384615384,0.5641636130662238,0.7531796163162903,104,69,0.6017699115044248,0.5054005604480631,0.6926685144473006,113,68,36,48,9,5,33,20,26,40
"sgc_coral-gemini2510,sgc_coral-geminipro10,sgc_coral-openailong","2,1,3",0.6634615384615384,0.5641636130662238,0.7531796163162903,104,69,0.5929203539823009,0.4964726470054805,0.6843740416228519,113,67,42,52,15,10,27,15,20,36
"sgc_coral-anthropic37,sgc_coral-geminipro10,sgc_coral-openai10","7,1,1",0.6634615384615384,0.5641636130662238,0.7531796163162903,104,69,0.46017699115044247,0.3660113913185952,0.5564811572428492,113,52,33,33,6,6,36,19,29,55
"sgc_coral-anthropic10,sgc_coral-openai10,sgc_coral-openailong","4,1,3",0.6634615384615384,0.5641636130662238,0.7531796163162903,104,69,0.5132743362831859,0.41742841517306456,0.608407514311825,113,58,35,38,8,5,34,20,27,50
"sgc_coral-gemini2510,sgc_coral-gemma,sgc_coral-openailong","2,1,3",0.6634615384615384,0.5641636130662238,0.7531796163162903,104,69,0.6460176991150443,0.5504962136889733,0.7336793311699545,113,73,43,58,16,10,26,15,19,30
"sgc_coral-anthropic3710,sgc_coral-gemini,sgc_coral-openai10","3,1,1",0.6634615384615384,0.5641636130662238,0.7531796163162903,104,69,0.5752212389380531,0.4787054077974483,0.6676956871258655,113,65,45,50,18,10,24,15,17,38
"sgc_coral-anthropic3710,sgc_coral-gemini,sgc_coral-openailong","3,1,3",0.6634615384615384,0.5641636130662238,0.7531796163162903,104,69,0.5309734513274337,0.4347936889763754,0.6254900011303783,113,60,42,44,15,9,27,16,20,44
"sgc_coral-openai10,sgc_coral-openailong,sgc_coral-openaio1","1,3,2",0.6634615384615384,0.5641636130662238,0.7531796163162903,104,69,0.5486725663716814,0.4522724568103532,0.642458642416372,113,62,36,43,9,6,33,19,26,45
"sgc_coral-anthropic10,sgc_coral-gemini2510,sgc_coral-openailong","4,2,3",0.6634615384615384,0.5641636130662238,0.7531796163162903,104,69,0.5575221238938053,0.4610546518661339,0.6508999553070312,113,63,38,46,11,8,31,17,24,42
"sgc_coral-anthropic10,sgc_coral-gemini2510,sgc_coral-openai10","4,2,1",0.6634615384615384,0.5641636130662238,0.7531796163162903,104,69,0.6017699115044248,0.5054005604480631,0.6926685144473006,113,68,41,51,14,8,28,17,21,37
"sgc_coral-anthropic37,sgc_coral-gemini2510,sgc_coral-openai10","7,2,1",0.6538461538461539,0.5542285655278716,0.744451098551687,104,68,0.5309734513274337,0.4347936889763754,0.6254900011303783,113,60,40,40,14,5,28,20,22,48
"sgc_coral-anthropic37,sgc_coral-gemini2510,sgc_coral-geminipro","7,2,1",0.6538461538461539,0.5542285655278716,0.744451098551687,104,68,0.5486725663716814,0.4522724568103532,0.642458642416372,113,62,38,45,12,8,30,17,24,43
"sgc_coral-anthropic37,sgc_coral-gemini2510,sgc_coral-openaio1","7,2,2",0.6538461538461539,0.5542285655278716,0.744451098551687,104,68,0.5132743362831859,0.41742841517306456,0.608407514311825,113,58,33,38,7,5,35,20,29,50
"sgc_coral-anthropic37,sgc_coral-openai10,sgc_coral-openailong","7,1,3",0.6538461538461539,0.5542285655278716,0.744451098551687,104,68,0.48672566371681414,0.391592485688175,0.5825715848269355,113,55,34,34,8,4,34,21,28,54
"sgc_coral-gemini10,sgc_coral-gemini2510,sgc_coral-openailong","4,2,3",0.6538461538461539,0.5542285655278716,0.744451098551687,104,68,0.504424778761062,0.4087881883554824,0.599823792281213,113,57,37,40,11,8,31,17,25,48
"sgc_coral-anthropic10,sgc_coral-gemini2510,sgc_coral-openai45","4,2,1",0.6538461538461539,0.5542285655278716,0.744451098551687,104,68,0.5752212389380531,0.4787054077974483,0.6676956871258655,113,65,38,48,12,8,30,17,24,40
"sgc_coral-anthropic10,sgc_coral-anthropic37,sgc_coral-anthropic3710","4,7,3",0.6538461538461539,0.5542285655278716,0.744451098551687,104,68,0.4690265486725664,0.3745099988696216,0.5652063110236246,113,53,31,33,5,5,37,20,31,55
"sgc_coral-anthropic37,sgc_coral-gemini,sgc_coral-gemini2510","7,1,2",0.6538461538461539,0.5542285655278716,0.744451098551687,104,68,0.5398230088495575,0.44351884275715087,0.6339886086814048,113,61,41,43,15,7,27,18,21,45
"sgc_coral-anthropic3710,sgc_coral-openai10o1,sgc_coral-openailong","3,1,3",0.6538461538461539,0.5542285655278716,0.744451098551687,104,68,0.5221238938053098,0.4260969019985035,0.6169629390023114,113,59,37,44,11,10,31,15,25,44
"sgc_coral-anthropic10,sgc_coral-gemini2510,sgc_coral-geminipro10","4,2,1",0.6538461538461539,0.5542285655278716,0.744451098551687,104,68,0.5398230088495575,0.44351884275715087,0.6339886086814048,113,61,38,46,12,10,30,15,24,42
"sgc_coral-anthropic10,sgc_coral-anthropic37,sgc_coral-openai10","4,7,1",0.6538461538461539,0.5542285655278716,0.744451098551687,104,68,0.39823008849557523,0.30733148555269946,0.4945994395519369,113,45,31,24,5,4,37,21,31,64
"sgc_coral-anthropic3710,sgc_coral-openai10,sgc_coral-openai10o1","3,1,1",0.6538461538461539,0.5542285655278716,0.744451098551687,104,68,0.49557522123893805,0.40017620771878704,0.5912118116445175,113,56,44,41,18,10,24,15,18,47
"sgc_coral-anthropic3710,sgc_coral-gemini2510,sgc_coral-openai","3,2,1",0.6538461538461539,0.5542285655278716,0.744451098551687,104,68,0.6371681415929203,0.5414149629210798,0.7255401401231517,113,72,43,56,17,9,25,16,19,32
"sgc_coral-anthropic10,sgc_coral-anthropic3710,sgc_coral-geminipro10","4,3,1",0.6538461538461539,0.5542285655278716,0.744451098551687,104,68,0.4778761061946903,0.38303706099768864,0.5739030980014965,113,54,34,38,8,9,34,16,28,50
"sgc_coral-anthropic37,sgc_coral-gemini2510,sgc_coral-openai45","7,2,1",0.6538461538461539,0.5542285655278716,0.744451098551687,104,68,0.5929203539823009,0.4964726470054805,0.6843740416228519,113,67,37,48,11,6,31,19,25,40
"sgc_coral-anthropic3710,sgc_coral-gemini2510,sgc_coral-openai4510","3,2,1",0.6538461538461539,0.5542285655278716,0.744451098551687,104,68,0.6371681415929203,0.5414149629210798,0.7255401401231517,113,72,43,55,17,8,25,17,19,33
"sgc_coral-anthropic10,sgc_coral-gemini,sgc_coral-gemini2510","4,1,2",0.6538461538461539,0.5542285655278716,0.744451098551687,104,68,0.5663716814159292,0.4698655764900294,0.6593123718320077,113,64,41,47,15,8,27,17,21,41
"sgc_coral-anthropic3710,sgc_coral-geminipro,sgc_coral-openai10","3,1,1",0.6538461538461539,0.5542285655278716,0.744451098551687,104,68,0.5309734513274337,0.4347936889763754,0.6254900011303783,113,60,44,46,18,11,24,14,18,42
"sgc_coral-anthropic37,sgc_coral-gemini10,sgc_coral-gemini2510","7,4,2",0.6538461538461539,0.5542285655278716,0.744451098551687,104,68,0.45132743362831856,0.35754135758362804,0.5477275431896468,113,51,33,32,7,6,35,19,29,56
"sgc_coral-anthropic,sgc_coral-anthropic3710,sgc_coral-gemini2510","1,3,2",0.6538461538461539,0.5542285655278716,0.744451098551687,104,68,0.6283185840707964,0.5323652037350549,0.717368992019971,113,71,46,58,20,12,22,13,16,30
"sgc_coral-gemini2510,sgc_coral-openai45,sgc_coral-openailong","2,1,3",0.6538461538461539,0.5542285655278716,0.744451098551687,104,68,0.6194690265486725,0.5233464844783339,0.7091663790724447,113,70,43,54,17,9,25,16,19,34
"sgc_coral-gemini2510,sgc_coral-openai10o1,sgc_coral-openai45","2,1,1",0.6538461538461539,0.5542285655278716,0.744451098551687,104,68,0.6017699115044248,0.5054005604480631,0.6926685144473006,113,68,44,55,18,12,24,13,18,33
"sgc_coral-anthropic,sgc_coral-anthropic3710,sgc_coral-openai10","1,3,1",0.6538461538461539,0.5542285655278716,0.744451098551687,104,68,0.5309734513274337,0.4347936889763754,0.6254900011303783,113,60,43,44,17,9,25,16,19,44
"sgc_coral-anthropic,sgc_coral-anthropic10,sgc_coral-gemini2510","1,4,2",0.6538461538461539,0.5542285655278716,0.744451098551687,104,68,0.5575221238938053,0.4610546518661339,0.6508999553070312,113,63,40,48,14,10,28,15,22,40
"sgc_coral-anthropic,sgc_coral-anthropic3710,sgc_coral-geminipro10","1,3,1",0.6538461538461539,0.5542285655278716,0.744451098551687,104,68,0.504424778761062,0.4087881883554824,0.599823792281213,113,57,42,41,16,9,26,16,20,47
"sgc_coral-gemini2510,sgc_coral-openai10,sgc_coral-openai4510","2,1,1",0.6538461538461539,0.5542285655278716,0.744451098551687,104,68,0.6106194690265486,0.5143583942222505,0.7009327503651719,113,69,46,55,20,11,22,14,16,33
"sgc_coral-gemini2510,sgc_coral-openailong,sgc_coral-openaio1","2,3,2",0.6538461538461539,0.5542285655278716,0.744451098551687,104,68,0.6017699115044248,0.5054005604480631,0.6926685144473006,113,68,38,50,12,7,30,18,24,38
"sgc_coral-gemma,sgc_coral-openai10,sgc_coral-openailong","1,1,3",0.6538461538461539,0.5542285655278716,0.744451098551687,104,68,0.5486725663716814,0.4522724568103532,0.642458642416372,113,62,44,46,18,9,24,16,18,42
"sgc_coral-anthropic,sgc_coral-anthropic3710,sgc_coral-openailong","1,3,3",0.6538461538461539,0.5542285655278716,0.744451098551687,104,68,0.5486725663716814,0.4522724568103532,0.642458642416372,113,62,40,46,14,9,28,16,22,42
"sgc_coral-gemini2510,sgc_coral-openai10,sgc_coral-openai10o1","2,1,1",0.6538461538461539,0.5542285655278716,0.744451098551687,104,68,0.5752212389380531,0.4787054077974483,0.6676956871258655,113,65,47,51,21,11,21,14,15,37
"sgc_coral-anthropic3710,sgc_coral-geminipro10,sgc_coral-openai10o1","3,1,1",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.45132743362831856,0.35754135758362804,0.5477275431896468,113,51,40,38,15,12,27,13,22,50
"sgc_coral-openai10,sgc_coral-openai10o1,sgc_coral-openailong","1,1,3",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.49557522123893805,0.40017620771878704,0.5912118116445175,113,56,40,40,15,9,27,16,22,48
"sgc_coral-anthropic10,sgc_coral-gemini2510,sgc_coral-openaio1","4,2,2",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.5575221238938053,0.4610546518661339,0.6508999553070312,113,63,33,45,8,7,34,18,29,43
"sgc_coral-anthropic10,sgc_coral-openai45,sgc_coral-openailong","4,1,3",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.5132743362831859,0.41742841517306456,0.608407514311825,113,58,33,40,8,7,34,18,29,48
"sgc_coral-anthropic,sgc_coral-gemma,sgc_coral-openailong","1,1,3",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.5663716814159292,0.4698655764900294,0.6593123718320077,113,64,40,50,15,11,27,14,22,38
"sgc_coral-anthropic3710,sgc_coral-openai4510,sgc_coral-openailong","3,1,3",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.5486725663716814,0.4522724568103532,0.642458642416372,113,62,36,44,11,7,31,18,26,44
"sgc_coral-gemini10,sgc_coral-geminipro10,sgc_coral-openai10","4,1,1",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.3805309734513274,0.2908336209275553,0.4766535155216661,113,43,31,25,6,7,36,18,31,63
"sgc_coral-gemini25,sgc_coral-gemini2510,sgc_coral-openai10","2,2,1",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.49557522123893805,0.40017620771878704,0.5912118116445175,113,56,38,37,13,6,29,19,24,51
"sgc_coral-anthropic3710,sgc_coral-gemini25,sgc_coral-openailong","3,2,3",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.4778761061946903,0.38303706099768864,0.5739030980014965,113,54,33,34,8,5,34,20,29,54
"sgc_coral-anthropic37,sgc_coral-openai45,sgc_coral-openailong","7,1,3",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.5221238938053098,0.4260969019985035,0.6169629390023114,113,59,32,37,7,3,35,22,30,51
"sgc_coral-anthropic37,sgc_coral-anthropic3710,sgc_coral-gemini","7,3,1",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.49557522123893805,0.40017620771878704,0.5912118116445175,113,56,35,39,10,8,32,17,27,49
"sgc_coral-anthropic,sgc_coral-anthropic3710,sgc_coral-gemini","1,3,1",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.5752212389380531,0.4787054077974483,0.6676956871258655,113,65,43,49,18,9,24,16,19,39
"sgc_coral-geminipro10,sgc_coral-openai4510,sgc_coral-openailong","1,1,3",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.4778761061946903,0.38303706099768864,0.5739030980014965,113,54,37,39,12,10,30,15,25,49
"sgc_coral-gemini2510,sgc_coral-openai,sgc_coral-openailong","2,1,3",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.6017699115044248,0.5054005604480631,0.6926685144473006,113,68,41,52,16,9,26,16,21,36
"sgc_coral-openai10,sgc_coral-openai45,sgc_coral-openailong","1,1,3",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.5752212389380531,0.4787054077974483,0.6676956871258655,113,65,42,49,17,9,25,16,20,39
"sgc_coral-openai45,sgc_coral-openai4510,sgc_coral-openailong","1,1,3",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.5929203539823009,0.4964726470054805,0.6843740416228519,113,67,39,53,14,11,28,14,23,35
"sgc_coral-anthropic,sgc_coral-anthropic10,sgc_coral-openai10","1,4,1",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.504424778761062,0.4087881883554824,0.599823792281213,113,57,38,39,13,7,29,18,24,49
"sgc_coral-anthropic37,sgc_coral-gemini25,sgc_coral-gemini2510","7,2,2",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.45132743362831856,0.35754135758362804,0.5477275431896468,113,51,32,29,7,3,35,22,30,59
"sgc_coral-gemini2510,sgc_coral-openai,sgc_coral-openai10","2,1,1",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.5929203539823009,0.4964726470054805,0.6843740416228519,113,67,45,51,20,9,22,16,17,37
"sgc_coral-anthropic3710,sgc_coral-gemma,sgc_coral-openailong","3,1,3",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.5575221238938053,0.4610546518661339,0.6508999553070312,113,63,38,48,13,10,29,15,24,40
"sgc_coral-anthropic10,sgc_coral-anthropic3710,sgc_coral-geminipro","4,3,1",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.504424778761062,0.4087881883554824,0.599823792281213,113,57,34,41,9,9,33,16,28,47
"sgc_coral-gemini2510,sgc_coral-geminipro10,sgc_coral-openai4510","2,1,1",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.5486725663716814,0.4522724568103532,0.642458642416372,113,62,41,50,16,13,26,12,21,38
"sgc_coral-anthropic37,sgc_coral-gemini2510,sgc_coral-openai","7,2,1",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.5309734513274337,0.4347936889763754,0.6254900011303783,113,60,37,41,12,6,30,19,25,47
"sgc_coral-gemini2510,sgc_coral-geminipro10,sgc_coral-openai10o1","2,1,1",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.5132743362831859,0.41742841517306456,0.608407514311825,113,58,42,46,17,13,25,12,20,42
"sgc_coral-anthropic10,sgc_coral-anthropic3710,sgc_coral-openailong","4,3,3",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.5132743362831859,0.41742841517306456,0.608407514311825,113,58,34,40,9,7,33,18,28,48
"sgc_coral-anthropic10,sgc_coral-anthropic3710,sgc_coral-openai10","4,3,1",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.5575221238938053,0.4610546518661339,0.6508999553070312,113,63,36,45,11,7,31,18,26,43
"sgc_coral-anthropic10,sgc_coral-gemini2510,sgc_coral-gemma","4,2,1",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.584070796460177,0.4875743523159756,0.6760496659713334,113,66,36,49,11,8,31,17,26,39
"sgc_coral-anthropic3710,sgc_coral-openai10,sgc_coral-openaio1","3,1,2",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.5929203539823009,0.4964726470054805,0.6843740416228519,113,67,37,48,12,6,30,19,25,40
"sgc_coral-anthropic37,sgc_coral-anthropic3710,sgc_coral-openai45","7,3,1",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.5132743362831859,0.41742841517306456,0.608407514311825,113,58,34,40,9,7,33,18,28,48
"sgc_coral-gemini2510,sgc_coral-geminipro,sgc_coral-openai10","2,1,1",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.5752212389380531,0.4787054077974483,0.6676956871258655,113,65,46,50,21,10,21,15,16,38
"sgc_coral-anthropic37,sgc_coral-anthropic3710,sgc_coral-openai10","7,3,1",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.48672566371681414,0.391592485688175,0.5825715848269355,113,55,36,34,11,4,31,21,26,54
"sgc_coral-anthropic37,sgc_coral-anthropic3710,sgc_coral-geminipro10","7,3,1",0.6442307692307693,0.5443333573674021,0.7356820108733471,104,67,0.4778761061946903,0.38303706099768864,0.5739030980014965,113,54,33,35,8,6,34,19,29,53
"sgc_coral-anthropic,sgc_coral-anthropic3710,sgc_coral-gemma","1,3,1",0.6346153846153846,0.5344772795898101,0.7268731284326717,104,66,0.5398230088495575,0.44351884275715087,0.6339886086814048,113,61,44,50,20,14,22,11,18,38
"sgc_coral-anthropic3710,sgc_coral-geminipro10,sgc_coral-openai","3,1,1",0.6346153846153846,0.5344772795898101,0.7268731284326717,104,66,0.49557522123893805,0.40017620771878704,0.5912118116445175,113,56,38,42,14,11,28,14,24,46
"sgc_coral-anthropic3710,sgc_coral-gemini2510,sgc_coral-openai10o1","3,2,1",0.6346153846153846,0.5344772795898101,0.7268731284326717,104,66,0.5663716814159292,0.4698655764900294,0.6593123718320077,113,64,43,52,19,13,23,12,19,36
"sgc_coral-anthropic3710,sgc_coral-openai45,sgc_coral-openaio1","3,1,2",0.6346153846153846,0.5344772795898101,0.7268731284326717,104,66,0.5929203539823009,0.4964726470054805,0.6843740416228519,113,67,35,49,11,7,31,18,27,39
"sgc_coral-anthropic3710,sgc_coral-openai10,sgc_coral-openai4510","3,1,1",0.6346153846153846,0.5344772795898101,0.7268731284326717,104,66,0.5132743362831859,0.41742841517306456,0.608407514311825,113,58,41,44,17,11,25,14,21,44
"sgc_coral-anthropic3710,sgc_coral-openai10,sgc_coral-openai45","3,1,1",0.6346153846153846,0.5344772795898101,0.7268731284326717,104,66,0.5309734513274337,0.4347936889763754,0.6254900011303783,113,60,40,48,16,13,26,12,22,40
