Task,Model,Run Name,Patience,Sampler,Accuracy,Accuracy Lower Bound,Neg Log Error,Rounds,Prompt Word Count,Reasoning Word Count,Cumulative Reasoning Words,Herdan Coefficient,Herdan R-squared,Zipf Coefficient,Zipf R-squared,Model Size,Data Points,logistic regression,decision trees,dummy
wisconsin,gemini-2.0-flash,gemini10.,3,10,0.6515151515151515,0.6112933699443637,0.4103780516712267,2,30,72,72,0.48163011312793175,0.9446914677287733,1.0399770178123109,0.9342981573891134,40,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,gpt-4o,openai10.,3,10,0.8714285714285714,0.8414081330842884,0.7997190884193965,5,123,141,437,0.6529731982728756,0.980093961788913,0.8761217038846969,0.940490472832359,200,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,o3,openaio310.,3,10,0.7272727272727273,0.6890136327693963,0.5072586488068989,2,77,108,108,0.6383713660475714,0.9789137194321196,0.8862863875892616,0.9469518421610188,,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,gpt-4.5-preview,openai4510.,3,10,0.6818181818181818,0.6418798805754101,0.4459712793521645,2,75,42,42,0.4238704018180074,0.8874829316600172,0.9018165116199887,0.9031475508853066,1800,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,gpt-4o-mini,openailong.,100,10,0.9,0.8721613841909005,0.8933379403902566,4,118,69,179,0.5980954881883234,0.9863998125866974,1.0617674033003301,0.9470112208706164,100,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,gemini-2.5-pro-exp-03-25,gemini25.,3,3,0.8939393939393939,0.8663559677197763,0.8740504293925415,6,86,318,1149,0.6096176873463619,0.9821294789266254,1.0010306921775793,0.9465758887636622,,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,gemini-2.0-pro-exp,geminipro10.,3,10,0.5909090909090909,0.5488430798990287,0.34567237678991114,3,35,52,147,0.5356468769549687,0.9558409362389202,1.0136204426412327,0.9243024829183115,1500,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,claude-3-7-sonnet-20250219,anthropic37.,3,3,0.7575757575757576,0.7200889511287676,0.5529799583787756,2,176,127,127,0.5612104348480773,0.9759231355224361,1.0175497464557026,0.9205199658677818,200,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,claude-3-7-sonnet-20250219,anthropic3710.,3,10,0.8181818181818182,0.7848351598876017,0.6672286948676803,5,493,159,623,0.5855537861573753,0.9858259861781142,1.122740117527198,0.9663449055583426,200,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
wisconsin,deepseek-r1:70b,deepseek.,3,3,0.6212121212121212,0.5790914574202184,0.37581225990744954,1,2,0,0,-9.550732298357357e-17,-inf,0.0831512180646357,1.0,,569,0.8728574940886829,0.8319934099362835,0.3888102652777774
